;cat 1;cat 2;cat 3;cat 4;cat 5;cat final;url;url_node;node
38;History;Maritime History & Piracy;0;0;0;finale;https://www.amazon.com/s?bbn=156576011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011%2Cn%3A11650869011&dc&qid=1660771922&rnid=156576011&ref=lp_156576011_nr_n_10;https://www.amazon.com/s?i=digital-text&rh=n%3A11650869011&fs=true&page=1;3A11650869011
39;History;Russia;0;0;0;finale;https://www.amazon.com/s?bbn=156576011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011%2Cn%3A156679011&dc&qid=1660771922&rnid=156576011&ref=lp_156576011_nr_n_15;https://www.amazon.com/s?i=digital-text&rh=n%3A156679011&fs=true&page=1;3A156679011
40;History;Women in History;0;0;0;finale;https://www.amazon.com/s?bbn=156576011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156576011%2Cn%3A10704244011&dc&qid=1660771922&rnid=156576011&ref=lp_156576011_nr_n_19;https://www.amazon.com/s?i=digital-text&rh=n%3A10704244011&fs=true&page=1;3A10704244011
41;Humor & Entertainment;Performing Arts;0;0;0;finale;https://www.amazon.com/s?bbn=156279011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156279011%2Cn%3A154691011&dc&qid=1660771926&rnid=156279011&ref=lp_156279011_nr_n_3;https://www.amazon.com/s?i=digital-text&rh=n%3A154691011&fs=true&page=1;3A154691011
42;Law;Dictionaries & Terminology;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156953011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_4;https://www.amazon.com/s?i=digital-text&rh=n%3A156953011&fs=true&page=1;3A156953011
43;Law;Environmental & Natural Resources Law;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156954011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_5;https://www.amazon.com/s?i=digital-text&rh=n%3A156954011&fs=true&page=1;3A156954011
44;Law;Ethics & Professional Responsibility;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156955011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_6;https://www.amazon.com/s?i=digital-text&rh=n%3A156955011&fs=true&page=1;3A156955011
45;Law;International Law;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156973011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_9;https://www.amazon.com/s?i=digital-text&rh=n%3A156973011&fs=true&page=1;3A156973011
46;Law;Legal Education;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156983011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_11;https://www.amazon.com/s?i=digital-text&rh=n%3A156983011&fs=true&page=1;3A156983011
47;Law;Media & the Law;0;0;0;finale;https://www.amazon.com/s?bbn=156915011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A156915011%2Cn%3A156984011&dc&qid=1660771930&rnid=156915011&ref=lp_156915011_nr_n_12;https://www.amazon.com/s?i=digital-text&rh=n%3A156984011&fs=true&page=1;3A156984011
